kab/kota,kecamatan,kelurahan,tempat_ibadah,alamat,nama_pengurus,status_tanah,tahun_pendirian,daya_tampung,luas_bangunan,luas_tanah,kegiatan_lain
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Huda,Jl. Kebon Besar Rt. 004/05,H. Supriyadi,Sertifikat Milik,1989,200,420,390,"TPA, RM"
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Istiqomah,Jl. Wahyu Kebon Besar Rt. 004/05,HM. Yusuf,Sertifikat,1963,550,700,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muchlisin,Jl. Komplek deplu Rt. 003/03,Drs. Abu Su'ud,Negara,1970,250,300,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Munir,Jl. Madrasah Rt. 006/03,Kasman,Negara,1980,500,500,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Babul Malik,Jl. H. Nawi Dalam I Rt. 003/02,HM. Kusno,Hak Milik,1985,100,150,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Jami Darul Falah,Jl. Bahari II Rt. 008/07,H. Mas'ud,Sertifikat,1992,500,400,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Miftahul Jannah,Jl. Mangga Dalam Rt. 010/01,Sabarudin,Hak Milik,1930,300,400,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Jami Nurul Huda,Jl. H. Nawi Raya Rt. 010/02,KH. Hasan Basri,Hak Milik,1996,500,700,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Awabin,Jl. Madrasah Rt. 004/01,H. Mujahidin,Hak Milik,1979, ,400,800, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Barkah,Jl. Kramat Batu Rt. 010/04,M. Ali,Hak Milik,1976, ,80,120, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Huda,Jl. Poncol Rt. 003/08,Hanafi,Hak Milik,1989, ,75,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Khairiyah,Jl. Mangga Rt. 012/04,H. Jana,Hak Milik,1979, ,80,140, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Manar,Jl. Madrasah I Rt. 010/01,H. Mukri,Hak Milik,1975, ,90,90, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muawanah,Jl. Poncol Rt. 013/06,H. Abd. Karim,Hak Milik,1973, ,100,192, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Mujahidin,Jl. Bahari Rt. 010/07,Suwarto,Hak Milik,1978, ,100,217, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muttaqin,Jl. Poncol Rt. 002/07,H. Amat,Hak Milik,1989, ,60,75, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Qura,Jl. Poncol Rt. 006/07,H. Syatiri,Hak Milik,1974, ,40,50, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid An Nur,Jl. H. Nawi I Rt. 003/02,HM. Husni,Hak Milik,1995, ,100,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Ar Rahman,Jl. Puskesmas I Rt. 010/01,H. Akil,Hak Milik,2000, ,300,300, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Ar Rohmania,Jl. Madrasah Rt. 007/01,KH. Mukri A,Hak Milik,1994, ,100,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid At Taqwa,Jl. Marga Guna Rt. 002/01,H. Muslih,Hak Milik,1988, ,150,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid At Taufiq,Jl. Madrasah I Rt. 006/02,H. Abd. Hamid,Hak Milik,1983, ,144,144, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid D. Best Swalayan,Jl. RS. Fatmawati Rt. 002/05,Wiyono,Nagara,2001, ,12,12, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid KNT Kelurahan,Jl. Mangga Rt. 011/04,Lurah Gandaria Selatan,Nagara,1997, ,20,20, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Nurul Amin,Jl. Poncol Rt. 006/04,H. Ahmad,Hak Milik,1989, ,75,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Wisma Sejahtera                                                                                                            ,Jl. RS. Fatmawati,Drs. Achyarull,Hak Milik,1975, ,20, , 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Akhyar,Jl. Masjid II Terusan jalan I Rt. 008/011,H. Hidayat, ,1971, ,500,700, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Falah,Jl. Cilandak tengah III Rt. 001/01,H. Djawahir,Sertifikat,1948, ,1000,1880, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Hidayah,Jl. Komplek Keuangan I,H. Zaini, ,1984, ,200,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Hikmah,Jl. Banjar Sari Rt. 001/05,H. Thohiri, ,1984, ,150,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Istiqomah,Jl. Banjarsari VII Rt.008/08,Drs. Nurcholis, ,1968, ,500,1500, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Muttaqin,Jl. Terogong Raya Rt. 011/010,H. Musyid, ,1986, ,600,736, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid An Nur,Jl. Komp. RS. Fatmawati Rt. 008/09,H. Mansur,Negara,1970, ,200,800, 
